goals_scored,assists,total_points,minutes,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,season,full_name,position
0,1,54,1092,16,5,5,0,1,6.8,56,2024-2025,Kieran Trippier,1
0,2,41,867,14,0,3,0,2,0.1,47,2024-2025,Joe Willock,2
0,1,34,952,16,1,3,0,2,0.4,42,2024-2025,Álex Moreno Lopera,1
2,1,123,2570,32,15,12,0,2,12.6,52,2024-2025,Ola Aina,1
2,6,100,2314,32,8,12,0,6,0.3,50,2024-2025,Elliot Anderson,2
1,0,30,362,9,0,1,0,0,0.3,55,2024-2025,Taiwo Awoniyi,3
0,1,46,1614,22,0,7,0,8,0.0,48,2024-2025,Nicolás Domínguez,2
6,9,135,2046,28,13,12,0,1,8.0,54,2024-2025,Anthony Elanga,2
5,10,126,2379,28,12,12,1,7,6.0,64,2024-2025,Morgan Gibbs-White,2
5,3,100,2105,21,7,11,0,2,1.5,51,2024-2025,Callum Hudson-Odoi,2
1,0,116,2838,39,16,12,0,5,5.1,47,2024-2025,Murillo Santiago Costa dos Santos,1
1,2,97,2138,24,5,10,0,5,3.3,45,2024-2025,Neco Williams,1
0,1,141,2970,39,11,13,0,3,19.8,51,2024-2025,Matz Sels,0
19,3,184,2508,30,39,15,0,1,29.3,70,2024-2025,Chris Wood,3
2,2,62,1764,24,3,6,0,9,0.1,48,2024-2025,Ryan Yates,2
